Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,425984,425984,1.0,0,3328
Uncompressed,periodic,1,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,4,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,8,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,16,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,32,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,64,279040,425984,1.526605504587156,1148,2180
Uncompressed,periodic,128,279040,425984,1.526605504587156,1148,2180
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,256,279040,425984,1.526605504587156,1148,2180
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,1,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,strided,4,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,8,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,strided,16,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,strided,64,516096,6393856,12.38888888888889,45920,4032
Uncompressed,skew,1,6395776,6400000,1.0006604358876858,33,49967
Uncompressed,random,1,6398336,6400000,1.0002600676175806,13,49987
Uncompressed,strided,32,1798272,6393856,3.5555555555555554,35903,14049
Uncompressed,blurred,1,6344192,6400000,1.0087967072875474,436,49564
Uncompressed,random,4,6393344,6400000,1.001041082726035,52,49948
Uncompressed,skew,4,6381824,6400000,1.0028480885715432,142,49858
Uncompressed,blurred,4,6177920,6400000,1.0359473738734073,1735,48265
Uncompressed,strided,128,516096,6393856,12.38888888888889,45920,4032
Uncompressed,random,8,6387072,6400000,1.0020240886590914,101,49899
Uncompressed,skew,8,6366592,6400000,1.0052473913830193,261,49739
Uncompressed,blurred,8,5930496,6400000,1.0791677458344124,3668,46332
Uncompressed,blurred,16,5520512,6400000,1.15931275939623,6871,43129
Uncompressed,blurred,256,157312,6400000,40.68348250610252,48771,1229
Uncompressed,random,16,6373632,6400000,1.0041370446238502,206,49794
Uncompressed,skew,16,6333568,6400000,1.0104888745174916,519,49481
Intel_8gen,periodic,0,339776,425984,1.2537200979468826,0,3328
Intel_8gen,periodic,1,223552,425984,1.90552533638706,1148,2180
Uncompressed,strided,256,516096,6393856,12.38888888888889,45920,4032
Intel_8gen,periodic,4,223552,425984,1.90552533638706,1148,2180
Intel_8gen,periodic,8,223552,425984,1.90552533638706,1148,2180
Intel_8gen,periodic,16,223552,425984,1.90552533638706,1148,2180
Intel_8gen,periodic,32,223552,425984,1.90552533638706,1148,2180
Uncompressed,blurred,32,4698368,6400000,1.3621751212335858,13294,36706
Intel_8gen,periodic,64,223552,425984,1.90552533638706,1148,2180
Uncompressed,blurred,128,1220480,6400000,5.243838489774515,40465,9535
Intel_8gen,periodic,128,223552,425984,1.90552533638706,1148,2180
Uncompressed,random,32,6343296,6400000,1.0089392013237282,443,49557
Intel_8gen,strided,0,5111232,6393856,1.2509422385835745,0,49952
Intel_8gen,random,0,5121216,6400000,1.249703195491071,0,50000
Intel_8gen,periodic,256,223552,425984,1.90552533638706,1148,2180
Uncompressed,skew,32,6258816,6400000,1.0225576211219503,1103,48897
Intel_8gen,strided,1,1439168,6393856,4.442744696936008,35903,14049
Intel_8gen,strided,4,1439168,6393856,4.442744696936008,35903,14049
Intel_8gen,blurred,0,6364864,6400000,1.0055203064825895,0,50000
Intel_8gen,strided,8,1439168,6393856,4.442744696936008,35903,14049
Uncompressed,blurred,64,3244672,6400000,1.9724643970176339,24651,25349
Intel_8gen,skew,0,5601856,6400000,1.1424784928423724,0,50000
Intel_8gen,strided,16,1439168,6393856,4.442744696936008,35903,14049
Intel_8gen,random,1,5126592,6400000,1.2483926944059522,9,49991
Intel_8gen,strided,64,414208,6393856,15.436341161928306,45920,4032
Intel_8gen,random,4,5111296,6400000,1.252128618651708,59,49941
Intel_8gen,strided,32,1439168,6393856,4.442744696936008,35903,14049
Intel_8gen,blurred,1,6307456,6400000,1.0146721594252897,456,49544
Intel_8gen,skew,1,5620480,6400000,1.1386927806877705,43,49957
Intel_11gen,random,0,5115072,6400000,1.2512042841234687,0,50000
Intel_11gen,periodic,0,339776,425984,1.2537200979468826,0,3328
Intel_8gen,strided,128,414208,6393856,15.436341161928306,45920,4032
Intel_8gen,skew,4,5611328,6400000,1.1405499731970756,134,49866
Intel_8gen,random,8,5111936,6400000,1.2519718556726844,105,49895
Intel_8gen,blurred,4,6139712,6400000,1.042394170931796,1745,48255
Intel_11gen,periodic,1,223552,425984,1.90552533638706,1148,2180
Intel_8gen,blurred,8,5921984,6400000,1.0807188942084274,3470,46530
Intel_11gen,periodic,32,223552,425984,1.90552533638706,1148,2180
Intel_11gen,periodic,4,223552,425984,1.90552533638706,1148,2180
Intel_11gen,periodic,8,223552,425984,1.90552533638706,1148,2180
Intel_11gen,periodic,16,223552,425984,1.90552533638706,1148,2180
Intel_11gen,skew,0,5613056,6400000,1.1401988506795586,0,50000
Intel_8gen,skew,8,5588096,6400000,1.1452917057974665,259,49741
Intel_11gen,random,1,5122816,6400000,1.2493128779171456,8,49992
Intel_11gen,periodic,64,223552,425984,1.90552533638706,1148,2180
Intel_8gen,blurred,256,145408,6400000,44.014084507042256,48806,1194
Uncompressed,random,64,6296192,6400000,1.0164874260505397,811,49189
Intel_8gen,random,16,5110912,6400000,1.2522226952841293,184,49816
Intel_11gen,periodic,128,223552,425984,1.90552533638706,1148,2180
Intel_8gen,blurred,16,5484032,6400000,1.1670245541966202,6903,43097
Uncompressed,skew,64,6115456,6400000,1.0465286644201184,2223,47777
Intel_11gen,random,4,5105024,6400000,1.2536669759045207,44,49956
Intel_11gen,strided,0,5111232,6393856,1.2509422385835745,0,49952
Intel_8gen,skew,16,5557248,6400000,1.1516491615994104,540,49460
Intel_8gen,strided,256,414208,6393856,15.436341161928306,45920,4032
Intel_11gen,skew,1,5635328,6400000,1.1356925453141327,26,49974
Intel_11gen,strided,1,1439168,6393856,4.442744696936008,35903,14049
Intel_11gen,periodic,256,223552,425984,1.90552533638706,1148,2180
Intel_8gen,blurred,32,4662528,6400000,1.3726459122604733,13320,36680
Intel_11gen,strided,4,1439168,6393856,4.442744696936008,35903,14049
Intel_8gen,blurred,128,1181568,6400000,5.416531253385332,40572,9428
Intel_11gen,random,8,5108480,6400000,1.2528188423953897,107,49893
Intel_11gen,strided,8,1439168,6393856,4.442744696936008,35903,14049
Intel_8gen,blurred,64,3201856,6400000,1.9988406724100023,24754,25246
Intel_11gen,strided,16,1439168,6393856,4.442744696936008,35903,14049
Intel_8gen,random,32,5077440,6400000,1.2604777210562803,396,49604
Intel_11gen,blurred,0,6366976,6400000,1.0051867637006955,0,50000
Intel_11gen,strided,64,414208,6393856,15.436341161928306,45920,4032
Intel_8gen,skew,32,5508608,6400000,1.1618180128264708,1064,48936
Intel_11gen,strided,32,1439168,6393856,4.442744696936008,35903,14049
Intel_11gen,random,16,5104832,6400000,1.2537141281045097,211,49789
Intel_11gen,blurred,1,6314368,6400000,1.0135614522308487,394,49606
Intel_11gen,strided,128,414208,6393856,15.436341161928306,45920,4032
Intel_11gen,blurred,4,6137728,6400000,1.042731121353048,1779,48221
Intel_11gen,random,32,5088896,6400000,1.2576401639962773,392,49608
Intel_11gen,blurred,8,5922752,6400000,1.0805787579827755,3450,46550
Intel_11gen,skew,4,5600512,6400000,1.142752662613704,130,49870
Intel_11gen,skew,8,5595264,6400000,1.1438244915700135,261,49739
Intel_11gen,strided,256,414208,6393856,15.436341161928306,45920,4032
Intel_11gen,blurred,16,5513856,6400000,1.1607122130139054,6650,43350
Intel_11gen,blurred,256,142336,6400000,44.96402877697842,48818,1182
Intel_8gen,random,64,5028928,6400000,1.2726370311923336,827,49173
Intel_8gen,skew,64,5368704,6400000,1.192094032377274,2203,47797
Intel_11gen,skew,16,5552832,6400000,1.1525650334820141,563,49437
Uncompressed,skew,128,5877120,6400000,1.0889687465969726,4085,45915
Intel_11gen,blurred,32,4659264,6400000,1.3736075053914094,13357,36643
Uncompressed,random,128,6190080,6400000,1.0339123242349049,1640,48360
Intel_11gen,blurred,128,1204800,6400000,5.3120849933598935,40391,9609
Intel_11gen,blurred,64,3215808,6400000,1.9901685672776483,24635,25365
Intel_11gen,random,64,5049664,6400000,1.2674110594289045,806,49194
Intel_11gen,skew,32,5502912,6400000,1.1630205970947745,1071,48929
