Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,1703936,1703936,1.0,0,13312
Uncompressed,periodic,1,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,4,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,periodic,8,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,16,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,32,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,1,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,strided,4,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,64,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,8,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,random,1,6399360,6400000,1.000100010001,5,49995
Uncompressed,random,4,6397440,6400000,1.0004001600640255,20,49980
Uncompressed,blurred,1,6387840,6400000,1.001903616872057,95,49905
Uncompressed,strided,16,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,skew,1,6398208,6400000,1.000280078421958,14,49986
Uncompressed,random,8,6397696,6400000,1.0003601296466729,18,49982
Uncompressed,periodic,128,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,blurred,4,6351488,6400000,1.0076378952459644,379,49621
Uncompressed,skew,4,6394240,6400000,1.0009008107296566,45,49955
Uncompressed,strided,32,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,16,6392704,6400000,1.0011413010832348,57,49943
Uncompressed,blurred,8,6299008,6400000,1.0160330007518643,789,49211
Uncompressed,skew,8,6389376,6400000,1.001662760181902,83,49917
Uncompressed,skew,16,6380032,6400000,1.003129764866383,156,49844
Uncompressed,blurred,16,6187648,6400000,1.0343186942760803,1659,48341
Uncompressed,periodic,256,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,32,6386432,6400000,1.0021245039483706,106,49894
Uncompressed,strided,64,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,32,6002688,6400000,1.0661890139883998,3104,46896
Uncompressed,strided,128,2080768,6393856,3.072834645669291,33696,16256
Uncompressed,skew,32,6364928,6400000,1.005510195873386,274,49726
Uncompressed,random,64,6376576,6400000,1.0036734448079974,183,49817
Uncompressed,blurred,64,5593984,6400000,1.1440862183374139,6297,43703
Uncompressed,skew,64,6326272,6400000,1.0116542570411136,576,49424
Intel_8gen,periodic,0,1583936,1703936,1.0757606367934058,0,13312
Intel_8gen,periodic,1,1048320,1703936,1.6253968253968254,4523,8789
Intel_8gen,periodic,4,1048320,1703936,1.6253968253968254,4523,8789
Intel_8gen,periodic,8,1048320,1703936,1.6253968253968254,4523,8789
Intel_8gen,periodic,16,1048320,1703936,1.6253968253968254,4523,8789
Intel_8gen,periodic,32,1048320,1703936,1.6253968253968254,4523,8789
Intel_8gen,random,0,5948992,6400000,1.075812507396211,0,50000
Intel_8gen,strided,0,5948224,6393856,1.07491849668069,0,49952
Uncompressed,strided,256,2080768,6393856,3.072834645669291,33696,16256
