Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,1703936,1703936,1.0,0,13312
Uncompressed,periodic,1,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,4,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,periodic,8,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,16,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,32,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,1,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,4,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,periodic,64,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,random,1,6399616,6400000,1.000060003600216,3,49997
Uncompressed,strided,8,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,4,6398592,6400000,1.0002200484106503,11,49989
Uncompressed,blurred,1,6385280,6400000,1.0023053021950485,115,49885
Uncompressed,strided,16,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,skew,1,6399360,6400000,1.000100010001,5,49995
Uncompressed,blurred,4,6347904,6400000,1.0082068033795093,407,49593
Uncompressed,random,8,6397312,6400000,1.0004201764741192,21,49979
Uncompressed,periodic,128,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,skew,4,6396672,6400000,1.000520270540681,26,49974
Uncompressed,blurred,8,6299648,6400000,1.01592977893368,784,49216
Uncompressed,strided,32,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,16,6393472,6400000,1.0010210414622915,51,49949
Uncompressed,skew,8,6389888,6400000,1.0015825003505539,79,49921
Uncompressed,blurred,16,6185600,6400000,1.0346611484738748,1675,48325
Uncompressed,skew,16,6381056,6400000,1.0029687876113296,148,49852
Uncompressed,periodic,256,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,blurred,32,5995392,6400000,1.067486496295822,3161,46839
Uncompressed,random,32,6387072,6400000,1.0020240886590914,101,49899
Uncompressed,strided,64,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,skew,32,6365312,6400000,1.0054495364877636,271,49729
Uncompressed,strided,128,2080768,6393856,3.072834645669291,33696,16256
Uncompressed,blurred,64,5587584,6400000,1.145396650860193,6347,43653
Uncompressed,random,64,6373120,6400000,1.004217714400482,210,49790
Uncompressed,skew,64,6330496,6400000,1.0109792344865236,543,49457
Uncompressed,strided,256,2080768,6393856,3.072834645669291,33696,16256
Uncompressed,blurred,128,4815104,6400000,1.3291509383805624,12382,37618
Uncompressed,random,128,6349312,6400000,1.0079832271591,396,49604
Uncompressed,skew,128,6250112,6400000,1.0239816502488275,1171,48829
Intel_8gen,periodic,0,874688,1703936,1.9480500475598157,0,13312
Intel_8gen,periodic,1,577536,1703936,2.950354609929078,4523,8789
Intel_8gen,periodic,4,577536,1703936,2.950354609929078,4523,8789
Intel_8gen,random,0,3284416,6400000,1.9485960365556616,0,50000
Intel_8gen,periodic,8,577536,1703936,2.950354609929078,4523,8789
