Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,1703936,1703936,1.0,0,13312
Uncompressed,periodic,1,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,4,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,8,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,periodic,16,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,32,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,1,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,periodic,64,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,4,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,1,6399744,6400000,1.000040001600064,2,49998
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,8,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,4,6397824,6400000,1.0003401156393175,17,49983
Uncompressed,strided,16,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,1,6387456,6400000,1.0019638491443228,98,49902
Uncompressed,random,8,6397184,6400000,1.0004401936852214,22,49978
Uncompressed,skew,1,6398080,6400000,1.000300090027008,15,49985
Uncompressed,periodic,128,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,skew,4,6394496,6400000,1.0008607402366034,43,49957
Uncompressed,blurred,4,6347776,6400000,1.0082271334086144,408,49592
Uncompressed,strided,32,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,16,6391424,6400000,1.0013417980093324,67,49933
Uncompressed,skew,8,6392576,6400000,1.0011613471627088,58,49942
Uncompressed,blurred,8,6303360,6400000,1.015331505736623,755,49245
Uncompressed,skew,16,6382720,6400000,1.002707309736288,135,49865
Uncompressed,blurred,16,6198016,6400000,1.0325884928338358,1578,48422
Uncompressed,periodic,256,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,32,6388224,6400000,1.0018433918409875,92,49908
Uncompressed,strided,64,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,32,5982208,6400000,1.0698390961999316,3264,46736
Uncompressed,skew,32,6364416,6400000,1.0055910864406097,278,49722
Uncompressed,strided,128,2080768,6393856,3.072834645669291,33696,16256
Uncompressed,random,64,6372736,6400000,1.0042782252395204,213,49787
Uncompressed,blurred,64,5564800,6400000,1.1500862564692351,6525,43475
Uncompressed,skew,64,6328448,6400000,1.0113064056147731,559,49441
Uncompressed,strided,256,2080768,6393856,3.072834645669291,33696,16256
Uncompressed,blurred,128,4821760,6400000,1.3273161667109106,12330,37670
Intel_8gen,periodic,0,1450816,1703936,1.1744673342450043,0,13312
Intel_8gen,periodic,1,956352,1703936,1.7817038078029848,4523,8789
Intel_8gen,periodic,4,956352,1703936,1.7817038078029848,4523,8789
Intel_8gen,periodic,8,956352,1703936,1.7817038078029848,4523,8789
Intel_8gen,periodic,16,956352,1703936,1.7817038078029848,4523,8789
Intel_8gen,strided,0,5416832,6393856,1.180368156147357,0,49952
Intel_8gen,periodic,32,956352,1703936,1.7817038078029848,4523,8789
