Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,1703936,1703936,1.0,0,13312
Uncompressed,periodic,1,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,4,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,periodic,8,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,16,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,32,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,1,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,4,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,periodic,64,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,8,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,1,6399360,6400000,1.000100010001,5,49995
Uncompressed,skew,1,6398208,6400000,1.000280078421958,14,49986
Uncompressed,random,4,6398208,6400000,1.000280078421958,14,49986
Uncompressed,blurred,1,6389504,6400000,1.0016426940181897,82,49918
Uncompressed,strided,16,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,skew,4,6394368,6400000,1.0008807750820723,44,49956
Uncompressed,blurred,4,6347008,6400000,1.0083491308030492,414,49586
Uncompressed,random,8,6397824,6400000,1.0003401156393175,17,49983
Uncompressed,periodic,128,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,skew,8,6388224,6400000,1.0018433918409875,92,49908
Uncompressed,blurred,8,6299264,6400000,1.0159917095076505,787,49213
Uncompressed,strided,32,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,16,6394496,6400000,1.0008607402366034,43,49957
Uncompressed,skew,16,6378880,6400000,1.0033109260559847,165,49835
Uncompressed,blurred,16,6189696,6400000,1.033976466695618,1643,48357
Uncompressed,periodic,256,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,64,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,32,6389120,6400000,1.0017028949213662,85,49915
Uncompressed,blurred,32,5986944,6400000,1.0689927949885618,3227,46773
Uncompressed,skew,32,6362368,6400000,1.0059147788999316,294,49706
Uncompressed,strided,128,2080768,6393856,3.072834645669291,33696,16256
Uncompressed,blurred,64,5592448,6400000,1.144400448604976,6309,43691
Uncompressed,skew,64,6325888,6400000,1.011715667428826,579,49421
Uncompressed,random,64,6374400,6400000,1.0040160642570282,200,49800
Intel_8gen,periodic,0,1339776,1703936,1.2718066303620903,0,13312
Intel_8gen,periodic,1,886912,1703936,1.9212007504690432,4523,8789
Intel_8gen,periodic,4,886912,1703936,1.9212007504690432,4523,8789
Intel_8gen,periodic,8,886912,1703936,1.9212007504690432,4523,8789
Uncompressed,strided,256,2080768,6393856,3.072834645669291,33696,16256
Intel_8gen,periodic,16,886912,1703936,1.9212007504690432,4523,8789
Intel_8gen,random,0,5046720,6400000,1.2681504026377528,0,50000
Intel_8gen,strided,0,5071360,6393856,1.2607773851590105,0,49952
Intel_8gen,periodic,32,886912,1703936,1.9212007504690432,4523,8789
