Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,1703936,1703936,1.0,0,13312
Uncompressed,periodic,1,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,4,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,periodic,8,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,16,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,32,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,1,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,4,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,periodic,64,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,8,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,1,6399360,6400000,1.000100010001,5,49995
Uncompressed,skew,1,6398592,6400000,1.0002200484106503,11,49989
Uncompressed,random,4,6398080,6400000,1.000300090027008,15,49985
Uncompressed,blurred,1,6385920,6400000,1.0022048506714774,110,49890
Uncompressed,strided,16,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,4,6349056,6400000,1.0080238700052417,398,49602
Uncompressed,skew,4,6395904,6400000,1.0006404098623118,32,49968
Uncompressed,random,8,6396160,6400000,1.0006003602161297,30,49970
Uncompressed,periodic,128,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,blurred,8,6294784,6400000,1.016714791166782,822,49178
Uncompressed,skew,8,6389760,6400000,1.001602564102564,80,49920
Uncompressed,strided,32,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,16,6393088,6400000,1.001081167661074,54,49946
Uncompressed,blurred,16,6197632,6400000,1.0326524711373635,1581,48419
Uncompressed,skew,16,6379776,6400000,1.0031700172545244,158,49842
Uncompressed,random,32,6385792,6400000,1.0022249393653913,111,49889
Uncompressed,strided,64,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,periodic,256,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,blurred,32,5997568,6400000,1.0670991975414035,3144,46856
Uncompressed,skew,32,6364672,6400000,1.0055506395302067,276,49724
Uncompressed,strided,128,2080768,6393856,3.072834645669291,33696,16256
Intel_8gen,periodic,0,1703936,1703936,1.0,0,13312
Intel_8gen,periodic,1,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,periodic,4,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,periodic,8,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,periodic,16,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,strided,0,6393856,6393856,1.0,0,49952
Intel_8gen,periodic,32,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,random,0,6400000,6400000,1.0,0,50000
Intel_8gen,strided,1,3625088,6393856,1.763779527559055,21631,28321
Intel_8gen,strided,4,3625088,6393856,1.763779527559055,21631,28321
Intel_8gen,blurred,0,6400000,6400000,1.0,0,50000
Intel_8gen,periodic,64,1124992,1703936,1.5146205484127888,4523,8789
