Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,1703936,1703936,1.0,0,13312
Uncompressed,periodic,1,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,4,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,periodic,8,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,16,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,32,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,1,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,4,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,64,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,1,6399872,6400000,1.000020000400008,1,49999
Uncompressed,strided,8,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,4,6398464,6400000,1.0002400576138273,12,49988
Uncompressed,strided,16,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,1,6388992,6400000,1.0017229634972151,86,49914
Uncompressed,skew,1,6398976,6400000,1.0001600256040966,8,49992
Uncompressed,random,8,6397184,6400000,1.0004401936852214,22,49978
Uncompressed,blurred,4,6345216,6400000,1.0086339062373921,428,49572
Uncompressed,periodic,128,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,skew,4,6394624,6400000,1.0008407061932023,42,49958
Uncompressed,strided,32,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,8,6292096,6400000,1.0171491344060866,843,49157
Uncompressed,skew,8,6390656,6400000,1.0014621347166863,73,49927
Uncompressed,random,16,6393600,6400000,1.001001001001001,50,49950
Uncompressed,blurred,16,6195456,6400000,1.0330151646626173,1598,48402
Uncompressed,skew,16,6378624,6400000,1.0033511929845684,167,49833
Uncompressed,periodic,256,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,32,6386688,6400000,1.0020843354176687,104,49896
Uncompressed,strided,64,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,32,6003072,6400000,1.0661208128105077,3101,46899
Uncompressed,strided,128,2080768,6393856,3.072834645669291,33696,16256
Uncompressed,skew,32,6362368,6400000,1.0059147788999316,294,49706
Uncompressed,random,64,6378112,6400000,1.0034317365389633,171,49829
Uncompressed,blurred,64,5581312,6400000,1.146683790477938,6396,43604
Uncompressed,skew,64,6327168,6400000,1.011510995124517,569,49431
Uncompressed,strided,256,2080768,6393856,3.072834645669291,33696,16256
Uncompressed,blurred,128,4828800,6400000,1.3253810470510272,12275,37725
Uncompressed,random,128,6347648,6400000,1.0082474642576273,409,49591
Intel_8gen,periodic,0,938240,1703936,1.8160982264665757,0,13312
Intel_8gen,periodic,1,620096,1703936,2.7478583961193106,4523,8789
Intel_8gen,periodic,4,620096,1703936,2.7478583961193106,4523,8789
Intel_8gen,periodic,8,620096,1703936,2.7478583961193106,4523,8789
Intel_8gen,periodic,16,620096,1703936,2.7478583961193106,4523,8789
Intel_8gen,strided,0,3512064,6393856,1.8205408557475036,0,49952
