Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Uncompressed,periodic,0,1703936,1703936,1.0,0,13312
Uncompressed,periodic,1,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,4,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,0,6393856,6393856,1.0,0,49952
Uncompressed,periodic,8,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,periodic,16,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,32,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,strided,1,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000
Uncompressed,strided,4,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,skew,0,6400000,6400000,1.0,0,50000
Uncompressed,periodic,64,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,1,6399488,6400000,1.000080006400512,4,49996
Uncompressed,strided,8,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,4,6398080,6400000,1.000300090027008,15,49985
Uncompressed,blurred,1,6388352,6400000,1.00182331843956,91,49909
Uncompressed,strided,16,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,skew,1,6398848,6400000,1.000180032405833,9,49991
Uncompressed,blurred,4,6351232,6400000,1.0076785102480905,381,49619
Uncompressed,random,8,6397056,6400000,1.0004602116973809,23,49977
Uncompressed,skew,4,6395264,6400000,1.000740548005524,37,49963
Uncompressed,periodic,128,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,blurred,8,6295296,6400000,1.0166321011752266,818,49182
Uncompressed,skew,8,6389504,6400000,1.0016426940181897,82,49918
Uncompressed,strided,32,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,random,16,6394624,6400000,1.0008407061932023,42,49958
Uncompressed,blurred,16,6195584,6400000,1.0329938226969402,1597,48403
Uncompressed,skew,16,6381568,6400000,1.0028883183568678,144,49856
Uncompressed,periodic,256,1124992,1703936,1.5146205484127888,4523,8789
Uncompressed,random,32,6388992,6400000,1.0017229634972151,86,49914
Uncompressed,strided,64,3625088,6393856,1.763779527559055,21631,28321
Uncompressed,blurred,32,5985280,6400000,1.0692899914456802,3240,46760
Uncompressed,strided,128,2080768,6393856,3.072834645669291,33696,16256
Uncompressed,skew,32,6362880,6400000,1.0058338362502515,290,49710
Intel_8gen,periodic,0,1703936,1703936,1.0,0,13312
Intel_8gen,periodic,1,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,periodic,4,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,periodic,8,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,periodic,16,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,strided,0,6393856,6393856,1.0,0,49952
Intel_8gen,random,0,6400000,6400000,1.0,0,50000
Intel_8gen,periodic,32,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,strided,1,3625088,6393856,1.763779527559055,21631,28321
Intel_8gen,periodic,64,1124992,1703936,1.5146205484127888,4523,8789
Intel_8gen,strided,4,3625088,6393856,1.763779527559055,21631,28321
Intel_8gen,blurred,0,6400000,6400000,1.0,0,50000
