Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
own_grey,random,0,3200000,6400000,2.0,0,50000
own_grey,periodic,0,851968,1703936,2.0,0,13312
own_grey,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_grey,random,1,3199744,6400000,2.000160012801024,4,49996
own_grey,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,0,3196928,6393856,2.0,0,49952
own_grey,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_grey,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_grey,skew,0,3200000,6400000,2.0,0,50000
own_grey,random,4,3199488,6400000,2.000320051208193,8,49992
own_grey,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_grey,blurred,0,3200000,6400000,2.0,0,50000
own_grey,random,8,3198720,6400000,2.000800320128051,20,49980
own_grey,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_grey,skew,1,3199360,6400000,2.000400080016003,10,49990
own_grey,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_grey,blurred,1,3192768,6400000,2.004530238338645,113,49887
own_grey,skew,4,3197440,6400000,2.00160128102482,40,49960
own_grey,random,16,3196480,6400000,2.0022024226649315,55,49945
own_grey,blurred,4,3175104,6400000,2.0156820060067324,389,49611
own_grey,skew,8,3194496,6400000,2.0034459269944302,86,49914
own_grey,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_grey,blurred,8,3145856,6400000,2.0344224274728404,846,49154
own_grey,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_grey,blurred,16,3094016,6400000,2.0685090186993214,1656,48344
own_grey,skew,16,3190400,6400000,2.0060180541624875,150,49850
own_grey,random,32,3193280,6400000,2.004208838560978,105,49895
own_grey,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_grey,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_grey,blurred,32,2998144,6400000,2.134653972591043,3154,46846
own_grey,skew,32,3179392,6400000,2.012963484842385,322,49678
own_grey,random,64,3188032,6400000,2.0075080802200227,187,49813
own_grey,blurred,64,2790528,6400000,2.293472776478143,6398,43602
own_grey,skew,64,3161024,6400000,2.024660363224069,609,49391
own_grey,blurred,128,2400256,6400000,2.666382252559727,12496,37504
own_grey,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_grey,random,128,3175680,6400000,2.015316404675534,380,49620
own_yuva,random,16,3196544,6400000,2.002162335322148,54,49946
own_yuva,periodic,0,851968,1703936,2.0,0,13312
own_yuva,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_grey,skew,128,3125376,6400000,2.047753614285129,1166,48834
own_yuva,random,0,3200000,6400000,2.0,0,50000
own_yuva,random,1,3199936,6400000,2.000040000800016,1,49999
own_grey,blurred,256,1705536,6400000,3.752486021989568,23351,26649
own_yuva,random,4,3199360,6400000,2.000400080016003,10,49990
own_yuva,random,8,3198400,6400000,2.001000500250125,25,49975
own_yuva,random,32,3192960,6400000,2.0044097013429547,110,49890
own_yuva,random,128,3175680,6400000,2.015316404675534,380,49620
own_yuva,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_yuva,blurred,1,3194048,6400000,2.003726932093694,93,49907
own_grey,random,256,3152000,6400000,2.030456852791878,750,49250
own_yuva,random,64,3187840,6400000,2.007628990162618,190,49810
own_yuva,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_yuva,skew,4,3197760,6400000,2.0014009806864808,35,49965
own_yuva,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_yuva,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_grey,skew,256,3057728,6400000,2.0930573288402368,2223,47777
own_yuva,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_yuva,blurred,8,3147008,6400000,2.033677702757667,828,49172
own_yuva,blurred,16,3099200,6400000,2.065049044914817,1575,48425
own_yuva,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_yuva,skew,0,3200000,6400000,2.0,0,50000
own_yuva,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_yuva,random,256,3148992,6400000,2.0323963985935816,797,49203
own_yuva,skew,1,3199424,6400000,2.000360064811666,9,49991
own_yuva,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_yuva,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_yuva,blurred,64,2787392,6400000,2.2960530847473195,6447,43553
own_yuva,strided,0,3196928,6393856,2.0,0,49952
own_yuva,blurred,4,3174208,6400000,2.016250982922354,403,49597
own_yuva,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_yuva,blurred,0,3200000,6400000,2.0,0,50000
own_yuva,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_yuva,skew,8,3195520,6400000,2.002803925495694,70,49930
own_yuva,skew,16,3190656,6400000,2.0058571027400007,146,49854
own_yuva,skew,128,3125568,6400000,2.047627823166861,1163,48837
own_yuva,blurred,32,2992512,6400000,2.138671457290731,3242,46758
own_yuva,skew,32,3180544,6400000,2.012234385061172,304,49696
own_yuva,blurred,128,2415040,6400000,2.6500596263415925,12265,37735
own_yuva,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_yuva,skew,64,3162240,6400000,2.0238818053025702,590,49410
own_yuva,blurred,256,1718848,6400000,3.7234240607662805,23143,26857
own_yuva,skew,256,3062144,6400000,2.09003887472307,2154,47846
