Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
own_grey,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,0,851968,1703936,2.0,0,13312
own_grey,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_grey,random,0,3200000,6400000,2.0,0,50000
own_grey,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,0,3196928,6393856,2.0,0,49952
own_grey,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_grey,random,1,3199872,6400000,2.000080003200128,2,49998
own_grey,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_grey,random,4,3198912,6400000,2.000680231278635,17,49983
own_grey,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_grey,skew,0,3200000,6400000,2.0,0,50000
own_grey,blurred,0,3200000,6400000,2.0,0,50000
own_grey,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_grey,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_grey,random,8,3198208,6400000,2.001120627551429,28,49972
own_grey,skew,1,3199872,6400000,2.000080003200128,2,49998
own_grey,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_grey,blurred,1,3191872,6400000,2.0050929360575864,127,49873
own_grey,blurred,4,3175168,6400000,2.015641377086189,388,49612
own_grey,skew,4,3198144,6400000,2.0011606731904505,29,49971
own_grey,blurred,8,3146240,6400000,2.034174125305126,840,49160
own_grey,skew,8,3195264,6400000,2.002964387293194,74,49926
own_grey,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_grey,random,16,3196736,6400000,2.002042082924583,51,49949
own_grey,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_grey,blurred,16,3096576,6400000,2.066798941798942,1616,48384
own_grey,skew,16,3191936,6400000,2.005052732886875,126,49874
own_grey,random,32,3194112,6400000,2.003686783681975,92,49908
own_grey,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_grey,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_grey,blurred,32,2990144,6400000,2.140365146293958,3279,46721
own_grey,skew,32,3183232,6400000,2.0105352044714304,262,49738
own_grey,random,64,3187712,6400000,2.00770960488275,192,49808
own_grey,blurred,64,2798080,6400000,2.2872827081427265,6280,43720
own_grey,skew,64,3161216,6400000,2.0245373932056525,606,49394
own_grey,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_grey,blurred,128,2400000,6400000,2.6666666666666665,12500,37500
own_yuva,random,8,3198720,6400000,2.000800320128051,20,49980
own_yuva,periodic,0,851968,1703936,2.0,0,13312
own_yuva,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_grey,random,128,3176320,6400000,2.014910336490026,370,49630
own_yuva,random,0,3200000,6400000,2.0,0,50000
own_grey,blurred,256,1717888,6400000,3.7255048059011995,23158,26842
own_grey,skew,128,3129536,6400000,2.045031595738154,1101,48899
own_yuva,random,1,3199744,6400000,2.000160012801024,4,49996
own_yuva,random,16,3196928,6400000,2.0019218449711724,48,49952
own_yuva,random,4,3199168,6400000,2.000520135235161,13,49987
own_yuva,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_yuva,random,32,3193344,6400000,2.0041686708353375,104,49896
own_yuva,blurred,1,3193728,6400000,2.0039276982886456,98,49902
own_yuva,random,64,3188096,6400000,2.007467780142129,186,49814
own_grey,random,256,3148224,6400000,2.0328921957268604,809,49191
own_yuva,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_grey,skew,256,3055424,6400000,2.094635638130747,2259,47741
own_yuva,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_yuva,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_yuva,skew,1,3199552,6400000,2.0002800392054887,7,49993
own_yuva,skew,4,3197440,6400000,2.00160128102482,40,49960
own_yuva,blurred,16,3092416,6400000,2.0695792545375524,1681,48319
own_yuva,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_yuva,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_yuva,strided,0,3196928,6393856,2.0,0,49952
own_yuva,random,128,3176256,6400000,2.0149509359447095,371,49629
own_yuva,blurred,32,2991744,6400000,2.1392204680614384,3254,46746
own_yuva,skew,32,3182720,6400000,2.0108586366378445,270,49730
own_yuva,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_yuva,blurred,0,3200000,6400000,2.0,0,50000
own_yuva,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_yuva,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_yuva,skew,0,3200000,6400000,2.0,0,50000
own_yuva,blurred,4,3175168,6400000,2.015641377086189,388,49612
own_yuva,skew,8,3195520,6400000,2.002803925495694,70,49930
own_yuva,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_yuva,skew,16,3190976,6400000,2.005655949778375,141,49859
own_yuva,blurred,8,3149888,6400000,2.031818274173558,783,49217
own_yuva,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_yuva,skew,64,3163264,6400000,2.02322664184842,574,49426
own_yuva,skew,128,3129536,6400000,2.045031595738154,1101,48899
own_yuva,random,256,3147072,6400000,2.0336363451487607,827,49173
own_yuva,blurred,64,2798080,6400000,2.2872827081427265,6280,43720
own_yuva,blurred,128,2409920,6400000,2.655689815429558,12345,37655
own_yuva,blurred,256,1708992,6400000,3.7448975770512676,23297,26703
own_yuva,skew,256,3058368,6400000,2.0926193316173856,2213,47787
