Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
own_grey,periodic,0,1450816,1703936,1.1744673342450043,0,13312
own_grey,periodic,1,956352,1703936,1.7817038078029848,4523,8789
own_grey,periodic,4,956352,1703936,1.7817038078029848,4523,8789
own_grey,random,0,5396480,6400000,1.1859582542694498,0,50000
own_grey,periodic,8,956352,1703936,1.7817038078029848,4523,8789
own_grey,periodic,16,956352,1703936,1.7817038078029848,4523,8789
own_grey,strided,0,5416832,6393856,1.180368156147357,0,49952
own_grey,periodic,32,956352,1703936,1.7817038078029848,4523,8789
own_grey,random,1,5404800,6400000,1.1841326228537596,6,49994
own_grey,strided,1,3064832,6393856,2.0862011359839627,21631,28321
own_grey,periodic,64,956352,1703936,1.7817038078029848,4523,8789
own_grey,strided,4,3064832,6393856,2.0862011359839627,21631,28321
own_grey,skew,0,4859264,6400000,1.317071885783526,0,50000
own_grey,strided,8,3064832,6393856,2.0862011359839627,21631,28321
own_grey,blurred,0,5823552,6400000,1.0989856362577342,0,50000
own_grey,random,4,5405056,6400000,1.184076538707462,22,49978
own_grey,skew,1,4855232,6400000,1.3181656406944096,10,49990
own_grey,strided,16,3064832,6393856,2.0862011359839627,21631,28321
own_grey,random,8,5397184,6400000,1.1858035597822865,22,49978
own_grey,periodic,128,956352,1703936,1.7817038078029848,4523,8789
own_grey,blurred,1,5811328,6400000,1.1012973282526817,89,49911
own_grey,skew,4,4855424,6400000,1.3181135159359925,44,49956
own_grey,blurred,4,5775680,6400000,1.1080946312815114,400,49600
own_grey,skew,8,4846016,6400000,1.3206724864300903,61,49939
own_grey,random,16,5399296,6400000,1.185339718363283,67,49933
own_grey,strided,32,3064832,6393856,2.0862011359839627,21631,28321
own_grey,blurred,8,5727552,6400000,1.117405830623624,827,49173
own_grey,skew,16,4844608,6400000,1.321056316630778,146,49854
own_grey,blurred,16,5644288,6400000,1.13388969521045,1546,48454
own_grey,periodic,256,956352,1703936,1.7817038078029848,4523,8789
own_grey,random,32,5396480,6400000,1.1859582542694498,87,49913
own_grey,strided,64,3064832,6393856,2.0862011359839627,21631,28321
own_grey,blurred,32,5457984,6400000,1.1725941299937852,3191,46809
own_grey,skew,32,4834816,6400000,1.3237318648734513,317,49683
own_grey,strided,128,1759872,6393856,3.633136955414939,33696,16256
own_grey,blurred,64,5083648,6400000,1.2589384630879243,6478,43522
own_grey,random,64,5377600,6400000,1.1901219875037192,183,49817
own_grey,skew,64,4808768,6400000,1.3309022186139985,597,49403
own_grey,strided,256,1759872,6393856,3.633136955414939,33696,16256
own_grey,random,128,5358784,6400000,1.1943007965986314,440,49560
own_grey,blurred,128,4433280,6400000,1.4436263894903998,12327,37673
own_yuva,random,16,5137536,6400000,1.245733363230934,49,49951
own_grey,skew,128,4762432,6400000,1.3438512087941623,1226,48774
own_yuva,random,1,5132096,6400000,1.2470538353140705,3,49997
own_yuva,random,32,5128832,6400000,1.2478474631261074,91,49909
own_grey,blurred,256,3185984,6400000,2.0087985375946644,23256,26744
own_yuva,periodic,0,1383552,1703936,1.2315662873531317,0,13312
own_yuva,periodic,1,912192,1703936,1.8679576229565706,4523,8789
own_yuva,random,0,5142336,6400000,1.2445705609279518,0,50000
own_grey,random,256,5311104,6400000,1.2050225339213843,806,49194
own_yuva,periodic,4,912192,1703936,1.8679576229565706,4523,8789
own_yuva,random,4,5139520,6400000,1.245252474939294,11,49989
own_yuva,random,8,5130560,6400000,1.2474271814382836,27,49973
own_yuva,periodic,256,912192,1703936,1.8679576229565706,4523,8789
own_grey,skew,256,4674176,6400000,1.3692252923296,2156,47844
own_yuva,periodic,8,912192,1703936,1.8679576229565706,4523,8789
own_yuva,strided,4,2920320,6393856,2.1894367740521585,21631,28321
own_yuva,random,64,5127744,6400000,1.2481122302517442,201,49799
own_yuva,periodic,16,912192,1703936,1.8679576229565706,4523,8789
own_yuva,strided,8,2920320,6393856,2.1894367740521585,21631,28321
own_yuva,strided,16,2920320,6393856,2.1894367740521585,21631,28321
own_yuva,strided,1,2920320,6393856,2.1894367740521585,21631,28321
own_yuva,random,128,5106496,6400000,1.2533055935028639,375,49625
own_yuva,blurred,1,5679616,6400000,1.1268367438925448,107,49893
own_yuva,blurred,128,4344320,6400000,1.473187978786093,12210,37790
own_yuva,periodic,64,912192,1703936,1.8679576229565706,4523,8789
own_yuva,strided,0,5158464,6393856,1.2394883438170743,0,49952
own_yuva,skew,0,4610240,6400000,1.3882140626084543,0,50000
own_yuva,periodic,32,912192,1703936,1.8679576229565706,4523,8789
own_yuva,strided,64,2920320,6393856,2.1894367740521585,21631,28321
own_yuva,blurred,0,5701568,6400000,1.1224982320652845,0,50000
own_yuva,strided,32,2920320,6393856,2.1894367740521585,21631,28321
own_yuva,periodic,128,912192,1703936,1.8679576229565706,4523,8789
own_yuva,blurred,8,5609920,6400000,1.1408362329587587,805,49195
own_yuva,skew,4,4603200,6400000,1.3903371567605145,30,49970
own_yuva,blurred,4,5647872,6400000,1.1331701568307497,415,49585
own_yuva,skew,1,4596352,6400000,1.3924085883761732,6,49994
own_yuva,strided,128,1676032,6393856,3.8148770429204215,33696,16256
own_yuva,blurred,16,5515264,6400000,1.1604158930560713,1580,48420
own_yuva,skew,16,4585152,6400000,1.395809779043312,143,49857
own_yuva,skew,8,4589120,6400000,1.3946028868279758,70,49930
own_yuva,blurred,32,5336192,6400000,1.1993571445705102,3189,46811
own_yuva,skew,64,4558848,6400000,1.403863432165319,594,49406
own_yuva,blurred,64,5004480,6400000,1.2788541466845706,6319,43681
own_yuva,skew,32,4568832,6400000,1.4007956519302964,276,49724
own_yuva,strided,256,1676032,6393856,3.8148770429204215,33696,16256
own_yuva,random,256,5041216,6400000,1.2695349693407305,801,49199
own_yuva,blurred,256,3136320,6400000,2.0406081012141617,23100,26900
own_yuva,skew,128,4492480,6400000,1.4246028919438707,1165,48835
own_yuva,skew,256,4406336,6400000,1.4524539208993594,2295,47705
