Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
own_grey,periodic,0,851968,1703936,2.0,0,13312
own_grey,random,0,3200000,6400000,2.0,0,50000
own_grey,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,0,3196928,6393856,2.0,0,49952
own_grey,random,1,3199680,6400000,2.000200020002,5,49995
own_grey,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_grey,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_grey,random,4,3199616,6400000,2.0002400288034563,6,49994
own_grey,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_grey,skew,0,3200000,6400000,2.0,0,50000
own_grey,blurred,0,3200000,6400000,2.0,0,50000
own_grey,random,8,3198976,6400000,2.000640204865557,16,49984
own_grey,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_grey,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_grey,skew,1,3199616,6400000,2.0002400288034563,6,49994
own_grey,blurred,1,3193088,6400000,2.0043293513990217,108,49892
own_grey,random,16,3197120,6400000,2.0018016214593133,45,49955
own_grey,skew,4,3197760,6400000,2.0014009806864808,35,49965
own_grey,blurred,4,3172864,6400000,2.0171050508310473,424,49576
own_grey,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_grey,skew,8,3195200,6400000,2.0030045067601403,75,49925
own_grey,blurred,8,3149440,6400000,2.03210729526519,790,49210
own_grey,skew,16,3190848,6400000,2.0057364061215077,143,49857
own_grey,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_grey,random,32,3193152,6400000,2.0042891788427233,107,49893
own_grey,blurred,16,3099840,6400000,2.0646226902033655,1565,48435
own_grey,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_grey,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_grey,blurred,32,2992128,6400000,2.138945927446954,3248,46752
own_grey,skew,32,3182144,6400000,2.011222622232055,279,49721
own_grey,random,64,3186240,6400000,2.008637139700713,215,49785
own_grey,blurred,64,2789376,6400000,2.2944199706314246,6416,43584
own_grey,skew,64,3165248,6400000,2.021958468973047,543,49457
own_grey,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_grey,blurred,128,2418368,6400000,2.646412787466589,12213,37787
own_grey,random,128,3173632,6400000,2.0166169234492215,412,49588
own_yuva,random,8,3197760,6400000,2.0014009806864808,35,49965
own_yuva,periodic,0,851968,1703936,2.0,0,13312
own_yuva,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_grey,skew,128,3122560,6400000,2.0496003279360524,1210,48790
own_yuva,random,0,3200000,6400000,2.0,0,50000
own_yuva,random,1,3199744,6400000,2.000160012801024,4,49996
own_yuva,random,4,3199232,6400000,2.0004801152276546,12,49988
own_grey,blurred,256,1710208,6400000,3.7422348626599806,23278,26722
own_yuva,random,16,3196160,6400000,2.002402883460152,60,49940
own_yuva,random,32,3192576,6400000,2.0046507898324113,116,49884
own_yuva,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_grey,skew,256,3059712,6400000,2.0917001338688084,2192,47808
own_yuva,blurred,1,3193984,6400000,2.003767082114375,94,49906
own_yuva,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_yuva,random,64,3187520,6400000,2.0078305391024998,195,49805
own_yuva,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_yuva,random,128,3175616,6400000,2.015357020496181,381,49619
own_yuva,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_grey,random,256,3151360,6400000,2.0308692120227456,760,49240
own_yuva,random,256,3145920,6400000,2.034381039568711,845,49155
own_yuva,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_yuva,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_yuva,strided,0,3196928,6393856,2.0,0,49952
own_yuva,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_yuva,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_yuva,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_yuva,blurred,8,3149824,6400000,2.03185955786736,784,49216
own_yuva,skew,0,3200000,6400000,2.0,0,50000
own_yuva,blurred,0,3200000,6400000,2.0,0,50000
own_yuva,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_yuva,skew,64,3160960,6400000,2.024701356549909,610,49390
own_yuva,blurred,4,3171264,6400000,2.018122742225182,449,49551
own_yuva,skew,1,3199424,6400000,2.000360064811666,9,49991
own_yuva,blurred,16,3095040,6400000,2.0678246484698097,1640,48360
own_yuva,skew,4,3196672,6400000,2.00208216545207,52,49948
own_yuva,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_yuva,blurred,256,1715072,6400000,3.7316217628181207,23202,26798
own_yuva,blurred,64,2802944,6400000,2.2833135446159467,6204,43796
own_yuva,skew,8,3194304,6400000,2.0035663480996173,89,49911
own_yuva,blurred,32,2993600,6400000,2.137894174238375,3225,46775
own_yuva,skew,16,3190720,6400000,2.0058168689198674,145,49855
own_yuva,skew,32,3181120,6400000,2.0118700331958554,295,49705
own_yuva,skew,128,3129984,6400000,2.04473888684415,1094,48906
own_yuva,blurred,128,2411008,6400000,2.6544913994478656,12328,37672
own_yuva,skew,256,3058944,6400000,2.0922252908193153,2204,47796
