Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
own_grey,periodic,0,851968,1703936,2.0,0,13312
own_grey,random,0,3200000,6400000,2.0,0,50000
own_grey,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,0,3196928,6393856,2.0,0,49952
own_grey,random,1,3199808,6400000,2.000120007200432,3,49997
own_grey,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_grey,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_grey,random,4,3199552,6400000,2.0002800392054887,7,49993
own_grey,skew,0,3200000,6400000,2.0,0,50000
own_grey,random,8,3198208,6400000,2.001120627551429,28,49972
own_grey,blurred,0,3200000,6400000,2.0,0,50000
own_grey,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_grey,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_grey,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_grey,skew,1,3199232,6400000,2.0004801152276546,12,49988
own_grey,blurred,1,3193216,6400000,2.004249007896741,106,49894
own_grey,skew,4,3197312,6400000,2.0016814123864046,42,49958
own_grey,blurred,4,3174656,6400000,2.0159664543182,396,49604
own_grey,random,16,3196032,6400000,2.002483079017982,62,49938
own_grey,blurred,8,3150336,6400000,2.0315293352836017,776,49224
own_grey,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_grey,skew,8,3195072,6400000,2.0030847505157943,77,49923
own_grey,skew,16,3191040,6400000,2.0056157240272765,140,49860
own_grey,blurred,16,3097600,6400000,2.0661157024793386,1600,48400
own_grey,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_grey,random,32,3193984,6400000,2.003767082114375,94,49906
own_grey,skew,32,3183040,6400000,2.0106564793405046,265,49735
own_grey,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_grey,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_grey,blurred,32,2989632,6400000,2.1407317020957763,3287,46713
own_grey,blurred,64,2788672,6400000,2.294999196750281,6427,43573
own_grey,random,64,3186368,6400000,2.0085564504790407,213,49787
own_grey,skew,64,3160512,6400000,2.024988356316951,617,49383
own_grey,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_grey,random,128,3172416,6400000,2.017389900946156,431,49569
own_yuva,periodic,0,851968,1703936,2.0,0,13312
own_grey,blurred,128,2410624,6400000,2.6549142462698456,12334,37666
own_grey,skew,128,3127552,6400000,2.0463288859785544,1132,48868
own_yuva,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_yuva,random,0,3200000,6400000,2.0,0,50000
own_yuva,random,4,3199296,6400000,2.0004400968213005,11,49989
own_yuva,random,1,3199680,6400000,2.000200020002,5,49995
own_yuva,random,32,3193088,6400000,2.0043293513990217,108,49892
own_grey,blurred,256,1723392,6400000,3.7136066547831255,23072,26928
own_yuva,random,8,3198464,6400000,2.00096046102129,24,49976
own_yuva,random,16,3196480,6400000,2.0022024226649315,55,49945
own_grey,random,256,3150272,6400000,2.0315706072364543,777,49223
own_yuva,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_yuva,random,64,3187136,6400000,2.008072451254041,201,49799
own_yuva,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_grey,skew,256,3056704,6400000,2.09375850589393,2239,47761
own_yuva,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_yuva,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_yuva,blurred,32,2993024,6400000,2.1383056066373007,3234,46766
own_yuva,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_yuva,skew,0,3200000,6400000,2.0,0,50000
own_yuva,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_yuva,random,128,3173824,6400000,2.0164949285152547,409,49591
own_yuva,blurred,0,3200000,6400000,2.0,0,50000
own_yuva,skew,1,3199552,6400000,2.0002800392054887,7,49993
own_yuva,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_yuva,random,256,3149760,6400000,2.03190084323885,785,49215
own_yuva,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_yuva,strided,0,3196928,6393856,2.0,0,49952
own_yuva,skew,16,3190080,6400000,2.0062192797672784,155,49845
own_yuva,blurred,1,3193216,6400000,2.004249007896741,106,49894
own_yuva,blurred,8,3147584,6400000,2.0333055448242208,819,49181
own_yuva,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_yuva,blurred,4,3172992,6400000,2.0170236798580015,422,49578
own_yuva,skew,8,3196032,6400000,2.002483079017982,62,49938
own_yuva,skew,4,3196736,6400000,2.002042082924583,51,49949
own_yuva,blurred,16,3100800,6400000,2.063983488132095,1550,48450
own_yuva,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_yuva,skew,64,3159168,6400000,2.025849844009562,638,49362
own_yuva,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_yuva,blurred,64,2799168,6400000,2.286393671262318,6263,43737
own_yuva,skew,32,3181952,6400000,2.0113439800474677,282,49718
own_yuva,skew,128,3127296,6400000,2.0464963981663393,1136,48864
own_yuva,blurred,128,2407616,6400000,2.6582312129509025,12381,37619
own_yuva,blurred,256,1729536,6400000,3.700414446417999,22976,27024
own_yuva,skew,256,3057472,6400000,2.0932325790718607,2227,47773
