Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
own_grey,periodic,0,851968,1703936,2.0,0,13312
own_grey,random,0,3200000,6400000,2.0,0,50000
own_grey,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,0,3196928,6393856,2.0,0,49952
own_grey,random,1,3199872,6400000,2.000080003200128,2,49998
own_grey,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_grey,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_grey,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_grey,skew,0,3200000,6400000,2.0,0,50000
own_grey,blurred,0,3200000,6400000,2.0,0,50000
own_grey,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_grey,random,4,3199168,6400000,2.000520135235161,13,49987
own_grey,random,8,3198016,6400000,2.0012407692769516,31,49969
own_grey,skew,1,3199360,6400000,2.000400080016003,10,49990
own_grey,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_grey,blurred,1,3193152,6400000,2.0042891788427233,107,49893
own_grey,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_grey,skew,4,3197824,6400000,2.001360925429292,34,49966
own_grey,blurred,4,3175552,6400000,2.0153976379539684,382,49618
own_grey,random,16,3195904,6400000,2.0025632809996794,64,49936
own_grey,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_grey,skew,8,3194880,6400000,2.003205128205128,80,49920
own_grey,blurred,8,3149248,6400000,2.0322311866197897,793,49207
own_grey,skew,16,3190528,6400000,2.005937575222659,148,49852
own_grey,blurred,16,3099072,6400000,2.065134336988621,1577,48423
own_grey,random,32,3193024,6400000,2.0043695255657332,109,49891
own_grey,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_grey,blurred,32,3003264,6400000,2.1310147892426374,3074,46926
own_grey,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_grey,skew,32,3180672,6400000,2.012153406575717,302,49698
own_grey,random,64,3187456,6400000,2.007870853746687,196,49804
own_grey,blurred,64,2796736,6400000,2.288381885168997,6301,43699
own_grey,skew,64,3161728,6400000,2.02420954617222,598,49402
own_grey,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_grey,blurred,128,2404032,6400000,2.6621941804435214,12437,37563
own_yuva,periodic,0,851968,1703936,2.0,0,13312
own_grey,random,128,3176448,6400000,2.014829142488717,368,49632
own_yuva,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_yuva,random,0,3200000,6400000,2.0,0,50000
own_grey,skew,128,3125120,6400000,2.047921359819783,1170,48830
own_yuva,random,4,3198976,6400000,2.000640204865557,16,49984
own_yuva,random,1,3199808,6400000,2.000120007200432,3,49997
own_grey,blurred,256,1735680,6400000,3.687315634218289,22880,27120
own_yuva,random,8,3197824,6400000,2.001360925429292,34,49966
own_yuva,random,16,3197568,6400000,2.0015211560786197,38,49962
own_yuva,random,32,3193920,6400000,2.003807233744114,95,49905
own_yuva,blurred,4,3175360,6400000,2.015519500151164,385,49615
own_yuva,blurred,8,3148224,6400000,2.0328921957268604,809,49191
own_yuva,random,64,3186816,6400000,2.0082740892477005,206,49794
own_yuva,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_yuva,strided,0,3196928,6393856,2.0,0,49952
own_yuva,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_yuva,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_yuva,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_yuva,blurred,32,2990528,6400000,2.1400903118111585,3273,46727
own_yuva,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_grey,random,256,3147328,6400000,2.0334709315330337,823,49177
own_grey,skew,256,3057408,6400000,2.0932763962153564,2228,47772
own_yuva,skew,16,3190144,6400000,2.006179031416764,154,49846
own_yuva,blurred,128,2403840,6400000,2.6624068157614484,12440,37560
own_yuva,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_yuva,random,128,3177024,6400000,2.014463850446204,359,49641
own_yuva,blurred,0,3200000,6400000,2.0,0,50000
own_yuva,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_yuva,blurred,1,3193216,6400000,2.004249007896741,106,49894
own_yuva,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_yuva,skew,0,3200000,6400000,2.0,0,50000
own_yuva,skew,4,3197312,6400000,2.0016814123864046,42,49958
own_yuva,skew,1,3199296,6400000,2.0004400968213005,11,49989
own_yuva,skew,32,3180608,6400000,2.0121938950037226,303,49697
own_yuva,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_yuva,blurred,16,3096576,6400000,2.066798941798942,1616,48384
own_yuva,skew,8,3195520,6400000,2.002803925495694,70,49930
own_yuva,skew,128,3124736,6400000,2.0481730296575456,1176,48824
own_yuva,random,256,3148992,6400000,2.0323963985935816,797,49203
own_yuva,blurred,256,1723008,6400000,3.7144342916573807,23078,26922
own_yuva,blurred,64,2789184,6400000,2.2945779123930152,6419,43581
own_yuva,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_yuva,skew,64,3163200,6400000,2.0232675771370765,575,49425
own_yuva,skew,256,3056064,6400000,2.0941969801679545,2249,47751
