Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
own_grey,periodic,0,851968,1703936,2.0,0,13312
own_grey,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_grey,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_grey,random,0,3200000,6400000,2.0,0,50000
own_grey,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,0,3196928,6393856,2.0,0,49952
own_grey,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_grey,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_grey,random,1,3199936,6400000,2.000040000800016,1,49999
own_grey,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_grey,skew,0,3200000,6400000,2.0,0,50000
own_grey,blurred,0,3200000,6400000,2.0,0,50000
own_grey,random,4,3199296,6400000,2.0004400968213005,11,49989
own_grey,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_grey,skew,1,3199616,6400000,2.0002400288034563,6,49994
own_grey,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_grey,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_grey,random,8,3198144,6400000,2.0011606731904505,29,49971
own_grey,blurred,1,3192704,6400000,2.004570420558874,114,49886
own_grey,skew,4,3198144,6400000,2.0011606731904505,29,49971
own_grey,blurred,4,3172928,6400000,2.017064364523872,423,49577
own_grey,random,16,3196352,6400000,2.0022826021664697,57,49943
own_grey,blurred,8,3146048,6400000,2.034298268812173,843,49157
own_grey,skew,8,3195584,6400000,2.0027638140634076,69,49931
own_grey,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_grey,blurred,16,3092864,6400000,2.069279476886148,1674,48326
own_grey,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_grey,skew,16,3191616,6400000,2.0052537648639435,131,49869
own_grey,random,32,3193984,6400000,2.003767082114375,94,49906
own_grey,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_grey,blurred,32,2989952,6400000,2.140502590008134,3282,46718
own_grey,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_grey,skew,32,3181824,6400000,2.0114248933944805,284,49716
own_grey,random,64,3186496,6400000,2.008475767739862,211,49789
own_grey,blurred,64,2796096,6400000,2.2889056741971663,6311,43689
own_grey,skew,64,3160832,6400000,2.0247833481817445,612,49388
own_grey,blurred,128,2405632,6400000,2.6604235394274767,12412,37588
own_grey,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_grey,random,128,3176832,6400000,2.014585599742133,362,49638
own_yuva,random,16,3196672,6400000,2.00208216545207,52,49948
own_yuva,periodic,0,851968,1703936,2.0,0,13312
own_yuva,periodic,1,562496,1703936,3.0292410968255776,4523,8789
own_grey,blurred,256,1707776,6400000,3.747564083345825,23316,26684
own_grey,skew,128,3125632,6400000,2.047585896228347,1162,48838
own_yuva,random,1,3199872,6400000,2.000080003200128,2,49998
own_yuva,random,0,3200000,6400000,2.0,0,50000
own_yuva,random,4,3199296,6400000,2.0004400968213005,11,49989
own_yuva,random,8,3197568,6400000,2.0015211560786197,38,49962
own_yuva,random,64,3187840,6400000,2.007628990162618,190,49810
own_grey,random,256,3148032,6400000,2.033016182808815,812,49188
own_yuva,random,32,3193600,6400000,2.004008016032064,100,49900
own_yuva,strided,16,1812544,6393856,3.52755905511811,21631,28321
own_yuva,blurred,1,3192576,6400000,2.0046507898324113,116,49884
own_yuva,periodic,4,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,8,562496,1703936,3.0292410968255776,4523,8789
own_yuva,strided,4,1812544,6393856,3.52755905511811,21631,28321
own_yuva,strided,1,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,128,562496,1703936,3.0292410968255776,4523,8789
own_yuva,blurred,8,3147776,6400000,2.033181522446324,816,49184
own_yuva,random,128,3174656,6400000,2.0159664543182,396,49604
own_grey,skew,256,3054080,6400000,2.095557418273261,2280,47720
own_yuva,strided,32,1812544,6393856,3.52755905511811,21631,28321
own_yuva,skew,0,3200000,6400000,2.0,0,50000
own_yuva,strided,64,1812544,6393856,3.52755905511811,21631,28321
own_yuva,periodic,16,562496,1703936,3.0292410968255776,4523,8789
own_yuva,skew,8,3195008,6400000,2.0031248748046955,78,49922
own_yuva,skew,1,3199552,6400000,2.0002800392054887,7,49993
own_yuva,strided,0,3196928,6393856,2.0,0,49952
own_yuva,blurred,0,3200000,6400000,2.0,0,50000
own_yuva,strided,8,1812544,6393856,3.52755905511811,21631,28321
own_yuva,blurred,4,3173760,6400000,2.0165355918531964,410,49590
own_yuva,periodic,64,562496,1703936,3.0292410968255776,4523,8789
own_yuva,blurred,16,3097280,6400000,2.0663291662361813,1605,48395
own_yuva,periodic,32,562496,1703936,3.0292410968255776,4523,8789
own_yuva,periodic,256,562496,1703936,3.0292410968255776,4523,8789
own_yuva,skew,16,3190272,6400000,2.0060985395602633,152,49848
own_yuva,skew,64,3164224,6400000,2.0226128112295463,559,49441
own_yuva,skew,4,3197376,6400000,2.001641345903641,41,49959
own_yuva,strided,128,1040384,6393856,6.145669291338582,33696,16256
own_yuva,random,256,3150592,6400000,2.0313642642398633,772,49228
own_yuva,blurred,32,2998080,6400000,2.134699541039599,3155,46845
own_yuva,blurred,64,2797184,6400000,2.2880153754633232,6294,43706
own_yuva,strided,256,1040384,6393856,6.145669291338582,33696,16256
own_yuva,skew,32,3182336,6400000,2.0111012790604135,276,49724
own_yuva,blurred,128,2411072,6400000,2.6544209380723593,12327,37673
own_yuva,blurred,256,1703744,6400000,3.7564328913263965,23379,26621
own_yuva,skew,128,3124608,6400000,2.0482569333497196,1178,48822
own_yuva,skew,256,3059456,6400000,2.091875156890637,2196,47804
