Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses,Image
Uncompressed,periodic,0,1703936,1703936,1.0,0,13312,1.1.13
Uncompressed,periodic,1,1124992,1703936,1.5146205484127888,4523,8789,1.1.13
Uncompressed,periodic,4,1124992,1703936,1.5146205484127888,4523,8789,1.1.13
Uncompressed,periodic,8,1124992,1703936,1.5146205484127888,4523,8789,1.1.13
Uncompressed,strided,0,6393856,6393856,1.0,0,49952,1.1.13
Uncompressed,periodic,16,1124992,1703936,1.5146205484127888,4523,8789,1.1.13
Uncompressed,random,0,6400000,6400000,1.0,0,50000,1.1.13
Uncompressed,periodic,32,1124992,1703936,1.5146205484127888,4523,8789,1.1.13
Uncompressed,strided,1,3625088,6393856,1.763779527559055,21631,28321,1.1.13
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000,1.1.13
Uncompressed,strided,4,3625088,6393856,1.763779527559055,21631,28321,1.1.13
Uncompressed,skew,0,6400000,6400000,1.0,0,50000,1.1.13
Uncompressed,periodic,64,1124992,1703936,1.5146205484127888,4523,8789,1.1.13
Uncompressed,random,1,6399872,6400000,1.000020000400008,1,49999,1.1.13
Uncompressed,strided,8,3625088,6393856,1.763779527559055,21631,28321,1.1.13
Uncompressed,random,4,6397312,6400000,1.0004201764741192,21,49979,1.1.13
Uncompressed,strided,16,3625088,6393856,1.763779527559055,21631,28321,1.1.13
Uncompressed,blurred,1,6387456,6400000,1.0019638491443228,98,49902,1.1.13
Uncompressed,skew,1,6398464,6400000,1.0002400576138273,12,49988,1.1.13
Uncompressed,random,8,6396288,6400000,1.0005803365952253,29,49971,1.1.13
Uncompressed,blurred,4,6352000,6400000,1.0075566750629723,375,49625,1.1.13
Uncompressed,periodic,128,1124992,1703936,1.5146205484127888,4523,8789,1.1.13
Uncompressed,skew,4,6395776,6400000,1.0006604358876858,33,49967,1.1.13
Uncompressed,blurred,8,6293760,6400000,1.016880211511084,830,49170,1.1.13
Uncompressed,strided,32,3625088,6393856,1.763779527559055,21631,28321,1.1.13
Uncompressed,skew,8,6389376,6400000,1.001662760181902,83,49917,1.1.13
Uncompressed,random,16,6394112,6400000,1.000920847179405,46,49954,1.1.13
Uncompressed,blurred,16,6187392,6400000,1.0343614886530546,1661,48339,1.1.13
Uncompressed,skew,16,6383360,6400000,1.0026067776218168,130,49870,1.1.13
Uncompressed,random,32,6385664,6400000,1.002245028864657,112,49888,1.1.13
Uncompressed,periodic,256,1124992,1703936,1.5146205484127888,4523,8789,1.1.13
Uncompressed,strided,64,3625088,6393856,1.763779527559055,21631,28321,1.1.13
Uncompressed,blurred,32,5989760,6400000,1.0684902233144566,3205,46795,1.1.13
Uncompressed,skew,32,6359808,6400000,1.0063196876383689,314,49686,1.1.13
Uncompressed,strided,128,2080768,6393856,3.072834645669291,33696,16256,1.1.13
Intel_8gen,periodic,0,1701376,1703936,1.0015046644598256,0,13312,1.1.13
Intel_8gen,periodic,1,1123328,1703936,1.5168641750227894,4523,8789,1.1.13
Intel_8gen,periodic,4,1123328,1703936,1.5168641750227894,4523,8789,1.1.13
Intel_8gen,periodic,8,1123328,1703936,1.5168641750227894,4523,8789,1.1.13
Intel_8gen,periodic,16,1123328,1703936,1.5168641750227894,4523,8789,1.1.13
Intel_8gen,periodic,32,1123328,1703936,1.5168641750227894,4523,8789,1.1.13
Intel_8gen,strided,0,6384832,6393856,1.0014133496386437,0,49952,1.1.13
Intel_8gen,random,0,6389376,6400000,1.001662760181902,0,50000,1.1.13
Intel_8gen,periodic,64,1123328,1703936,1.5168641750227894,4523,8789,1.1.13
Uncompressed,blurred,64,5599872,6400000,1.1428832659032206,6251,43749,1.1.13
Uncompressed,random,64,6375680,6400000,1.003814495081309,190,49810,1.1.13
Intel_8gen,strided,1,3620096,6393856,1.7662117247719398,21631,28321,1.1.13
Intel_8gen,random,1,6388608,6400000,1.0017831740498089,6,49994,1.1.13
Intel_8gen,strided,4,3620096,6393856,1.7662117247719398,21631,28321,1.1.13
Intel_8gen,blurred,0,6397952,6400000,1.0003201024327786,0,50000,1.1.13
Intel_8gen,skew,0,6391168,6400000,1.0013819070317038,0,50000,1.1.13
Uncompressed,skew,64,6331776,6400000,1.0107748600076818,533,49467,1.1.13
Intel_8gen,strided,8,3620096,6393856,1.7662117247719398,21631,28321,1.1.13
Intel_8gen,random,4,6388224,6400000,1.0018433918409877,17,49983,1.1.13
Intel_8gen,strided,16,3620096,6393856,1.7662117247719398,21631,28321,1.1.13
Intel_8gen,periodic,128,1123328,1703936,1.5168641750227894,4523,8789,1.1.13
Intel_8gen,random,8,6387968,6400000,1.0018835410571876,20,49980,1.1.13
Intel_8gen,skew,1,6389952,6400000,1.0015724687759784,7,49993,1.1.13
Intel_8gen,blurred,4,6346688,6400000,1.008399971764801,399,49601,1.1.13
Intel_8gen,blurred,1,6381632,6400000,1.0028782606079447,130,49870,1.1.13
Intel_8gen,skew,4,6384320,6400000,1.0024560172422434,36,49964,1.1.13
Intel_8gen,strided,32,3620096,6393856,1.7662117247719398,21631,28321,1.1.13
Intel_8gen,random,16,6383680,6400000,1.0025565191237655,42,49958,1.1.13
Intel_8gen,skew,8,6379840,6400000,1.003159953854642,72,49928,1.1.13
Uncompressed,strided,256,2080768,6393856,3.072834645669291,33696,16256,1.1.13
Intel_8gen,blurred,8,6294976,6400000,1.0166837808436442,804,49196,1.1.13
Intel_8gen,blurred,16,6192704,6400000,1.033474230320067,1600,48400,1.1.13
Intel_8gen,skew,16,6370176,6400000,1.004681817268471,157,49843,1.1.13
Intel_8gen,periodic,256,1123328,1703936,1.5168641750227894,4523,8789,1.1.13
Intel_8gen,random,32,6376832,6400000,1.0036331520102773,105,49895,1.1.13
Intel_8gen,strided,64,3620096,6393856,1.7662117247719398,21631,28321,1.1.13
Uncompressed,blurred,128,4811648,6400000,1.3301056103854647,12409,37591,1.1.13
Intel_8gen,blurred,32,5983104,6400000,1.0696788823995036,3241,46759,1.1.13
Intel_8gen,strided,128,2077696,6393856,3.077378018728438,33696,16256,1.1.13
Intel_8gen,skew,32,6350848,6400000,1.0077394388906804,321,49679,1.1.13
Intel_11gen,random,0,6388928,6400000,1.00173299808669,0,50000,1.1.13
Uncompressed,random,128,6348288,6400000,1.008145818211146,404,49596,1.1.13
Intel_8gen,random,64,6366784,6400000,1.0052170766276978,190,49810,1.1.13
Uncompressed,skew,128,6251904,6400000,1.0236881436439202,1157,48843,1.1.13
Intel_11gen,random,1,6387520,6400000,1.0019538099293623,2,49998,1.1.13
Intel_11gen,periodic,0,1695232,1703936,1.0051344004832377,0,13312,1.1.13
Intel_8gen,blurred,64,5575552,6400000,1.147868408365665,6424,43576,1.1.13
Intel_11gen,periodic,1,1120256,1703936,1.5210237659963437,4523,8789,1.1.13
Intel_11gen,random,4,6386816,6400000,1.0020642523598613,13,49987,1.1.13
Intel_11gen,periodic,4,1120256,1703936,1.5210237659963437,4523,8789,1.1.13
Intel_8gen,skew,64,6319424,6400000,1.0127505291621517,547,49453,1.1.13
Intel_11gen,periodic,8,1120256,1703936,1.5210237659963437,4523,8789,1.1.13
Uncompressed,blurred,256,3414144,6400000,1.8745547932366065,23327,26673,1.1.13
Intel_11gen,periodic,16,1120256,1703936,1.5210237659963437,4523,8789,1.1.13
Intel_8gen,strided,256,2077696,6393856,3.077378018728438,33696,16256,1.1.13
Intel_11gen,periodic,32,1120256,1703936,1.5210237659963437,4523,8789,1.1.13
Intel_11gen,random,8,6385472,6400000,1.0022751646236958,27,49973,1.1.13
Intel_11gen,random,16,6382400,6400000,1.0027575833542242,39,49961,1.1.13
Intel_11gen,strided,0,6379648,6393856,1.0022270821211452,0,49952,1.1.13
Intel_11gen,periodic,64,1120256,1703936,1.5210237659963437,4523,8789,1.1.13
Intel_11gen,strided,1,3617088,6393856,1.7676805209052144,21631,28321,1.1.13
Intel_11gen,strided,4,3617088,6393856,1.7676805209052144,21631,28321,1.1.13
Intel_11gen,blurred,0,6397952,6400000,1.0003201024327786,0,50000,1.1.13
Intel_11gen,strided,8,3617088,6393856,1.7676805209052144,21631,28321,1.1.13
Intel_11gen,periodic,128,1120256,1703936,1.5210237659963437,4523,8789,1.1.13
Intel_8gen,blurred,128,4816896,6400000,1.328656462585034,12356,37644,1.1.13
Intel_11gen,strided,16,3617088,6393856,1.7676805209052144,21631,28321,1.1.13
Intel_11gen,skew,0,6390848,6400000,1.001432047828395,0,50000,1.1.13
Intel_11gen,blurred,1,6385344,6400000,1.0022952561365528,99,49901,1.1.13
Intel_11gen,random,32,6372800,6400000,1.004268139593271,113,49887,1.1.13
Intel_11gen,strided,32,3617088,6393856,1.7676805209052144,21631,28321,1.1.13
Intel_11gen,skew,1,6387392,6400000,1.001973888560464,14,49986,1.1.13
Intel_11gen,blurred,8,6298112,6400000,1.0161775465409315,779,49221,1.1.13
Intel_11gen,blurred,4,6346560,6400000,1.008420309585035,402,49598,1.1.13
Intel_8gen,random,128,6337152,6400000,1.0099173887575996,411,49589,1.1.13
Intel_11gen,skew,4,6383680,6400000,1.0025565191237655,46,49954,1.1.13
