Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses
Intel_8gen,gradient,32,14848,64000,4.310344827586207,372,128
Intel_8gen,gradient,8,14848,64000,4.310344827586207,372,128
Intel_8gen,gradient,4,14848,64000,4.310344827586207,372,128
Intel_8gen,gradient,16,14848,64000,4.310344827586207,372,128
Intel_8gen,blurred,32,57408,64000,1.1148272017837235,6,494
Intel_8gen,blurred,16,56896,64000,1.124859392575928,6,494
Intel_8gen,skew,32,56320,64000,1.1363636363636365,5,495
Intel_8gen,blurred,8,57280,64000,1.1173184357541899,3,497
Intel_8gen,skew,16,56640,64000,1.1299435028248588,4,496
Intel_8gen,skew,8,56064,64000,1.1415525114155252,1,499
Intel_8gen,random,4,55296,64000,1.1574074074074074,0,500
Intel_8gen,random,32,55360,64000,1.1560693641618498,0,500
Intel_8gen,skew,4,55552,64000,1.152073732718894,0,500
Intel_8gen,random,8,55936,64000,1.1441647597254005,0,500
Intel_8gen,periodic,8,56960,64000,1.1235955056179776,0,500
Intel_8gen,blurred,4,56896,64000,1.124859392575928,0,500
Intel_8gen,random,16,55424,64000,1.1547344110854503,1,499
Intel_8gen,periodic,32,56960,64000,1.1235955056179776,0,500
Intel_8gen,periodic,16,56960,64000,1.1235955056179776,0,500
Intel_8gen,periodic,4,56960,64000,1.1235955056179776,0,500
